source,target
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Here, IQ-TREE partitions the alignment example.phy into 2 sub-alignments named part1 and part2 containing sites (columns) 1-100 and 101-384, respectively. Moreover, IQ-TREE applies the subtitution models HKY+G and GTR+I+G to part1 and part2, respectively. Substitution model parameters and trees with branch lengths can be found in the result file example.nex.iqtree.",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Here, IQ-TREE will resample the sites within partitions (i.e., the bootstrap replicates are generated per partition separately and then concatenated together). The same holds true if you do the standard nonparametric bootstrap.",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Ultrafast bootstrapping with partition model",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Moreover, with the -m option one can input a file which contains the 6 rates (A-C, A-G, A-T, C-G, C-T, G-T) and 4 base frequencies (A, C, G, T). For example:",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Constrained tree search",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: The resulting part of the tree is then:",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Because the alignment file names are now specified in this NEXUS file, you can omit the -s option:",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: iqtree -s example.phy -p example.partitions -m GTR+I+G
# for version 1.x change -p to -spp
",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: IQ-TREE can perform the ultrafast bootstrap with partition models by e.g.,",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: iqtree -s example.phy -m TIM2+I+G -g example.constr0 --prefix example.constr0
# for version 1.x change --prefix to -pre
",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Finally, note that IQ-TREE will automatically detect duplicated tree topologies and omit them during the evaluation.",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Binary alignments contain sequences with characters 0 and 1, which can be in any common formats supported by IQ-TREE, for example, in PHYLIP format:",5.0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Depending on the compute system it might be required to set an upper limit of CPU cores that can automatically be assigned. Use the -ntmax option to do so. For instance",0.5
"stsb sentence1: iqtree -s morphology.phy
. sentence2: DNA, part1 = 1-100
DNA, part2 = 101-384
",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Morphological alignments have an extended characeter alphabet of 0-9 and A-Z (for states 10-31). For example (PHYLIP format):",5.0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: example.phy.iqtree: the main report file that is self-readable. You should look at this file to see the computational results. It also contains a textual representation of the final tree (see below).example.phy.treefile: the ML tree in NEWICK format, which can be visualized by any supported tree viewer programs like FigTree or iTOL.example.phy.log: log file of the entire run (also printed on the screen). To report bugs, please send this log file and the original alignment file to the authors.",0.5
"stsb sentence1: iqtree -s morphology.phy
. sentence2: iqtree -s morphology.phy -st MORPH -m MK+ASC
",5.0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: or",5.0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: IQ-TREE provides an implementation of the SH-like approximate likelihood ratio test (Guindon et al., 2010). To perform this test, run:",0.5
"stsb sentence1: iqtree -s morphology.phy
. sentence2: To reduce computational burden, one can use the option -mset to restrict the testing procedure to a subset of base models instead of testing the entire set of all available models. For example, -mset WAG,LG will test only models like WAG+... or LG+.... Another useful option in this respect is -msub for AA data sets. With -msub nuclear only general AA models are included, whereas with -msub viral only AA models for viruses are included.",0.5
"stsb sentence1: iqtree -s morphology.phy
. sentence2: IQ-TREE supports RAxML-style and NEXUS partition input file. The RAxML-style partition file may look like:",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Finally, IQ-TREE 2 allows to estimate rates by maximum likelihood via --mlrate option:",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: This makes sense as the mammals (Human to Opossum) form a clade, whereas the reptiles (Turtle to Crocodile) and Bird form a separate sister clade. Here the tree is drawn at the outgroup Lungfish which is more accient than other species in this example. However, please note that IQ-TREE always produces an unrooted tree as it knows nothing about this biological background; IQ-TREE simply draws the tree this way as LngfishAu is the first sequence occuring in the alignment.",0.5
"stsb sentence1: iqtree -s morphology.phy
. sentence2: NOTE: Tree is UNROOTED although outgroup taxon 'LngfishAu' is drawn at root
Numbers in parentheses are SH-aLRT support (%) / ultrafast bootstrap support (%)

+-------------LngfishAu
|
|       +--------------LngfishSA
+-------| (100/100)
|       +------------LngfishAf
|
|      +--------------------Frog
+------| (99.8/100)
       |                     +-----------------Turtle
       |                  +--| (85/72)
       |                  |  |    +------------------------Crocodile
       |                  |  +----| (96.5/97)
       |                  |       +------------------Bird
       |               +--| (39/51)
       |               |  +---------------------------Sphenodon
       |         +-----| (98.2/99)
       |         |     +-------------------------------Lizard
       +---------| (100/100)
                 |                   +--------------Human
                 |                +--| (92.3/93)
                 |                |  |  +------Seal
                 |                |  +--| (68.3/75)
                 |                |     |  +-----Cow
                 |                |     +--| (99.7/100)
                 |                |        +-------Whale
                 |           +----| (99.1/100)
                 |           |    |         +---Mouse
                 |           |    +---------| (100/100)
                 |           |              +------Rat
                 +-----------| (100/100)
                             |  +--------------Platypus
                             +--| (93/98)
                                +-----------Opossum
",0.5
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Tree topology tests",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: to resample partitions instead of sites. Moreover, IQ-TREE allows an even more complicated strategy: resampling partitions and then sites within resampled partitions (Gadagkar et al., 2005; Seo et al., 2005). This may help to reduce false positives (i.e. wrong branch receiving 100% support):",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: headerBinary, morphological and SNP data",5.0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: titleBeginner’s tutorial",3.8
"stsb sentence1: Binary, morphological and SNP data. sentence2: iqtree -s morphology.phy
",5.0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Binary, morphological and SNP data",5.0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Here, IQ-TREE will write an additional file:",0.5
"stsb sentence1: Binary, morphological and SNP data. sentence2: # Site-specific subtitution rates determined by maximum likelihood
# This file can be read in MS Excel or in R with command:
#   tab=read.table('example.phy.mlrate',header=TRUE)
# Columns are tab-separated with following meaning:
#   Site:   Alignment site ID
#   Rate:   Site rate estimated by maximum likelihood
Site    Rate
1       2.51550
2       12.89129
3       34.31350
4       2.44313
5       2.44313
6       4.41889
7       2.69577
8       9.27503
9       2.44313
10      0.00001
",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: To run UFBoot:",0.5
"stsb sentence1: Binary, morphological and SNP data. sentence2: assuming that example.treels is an existing file containing a set of trees in NEWICK format. IQ-TREE first reconstructs an ML tree. Then, it will compute the log-likelihood of the trees in example.treels based on the estimated parameters done for the ML tree. example.phy.iqtree will have a section called USER TREES that lists the tree IDs and the corresponding log-likelihoods. The trees with optimized branch lengths can be found in example.phy.treels.trees If you only want to evaluate the trees without reconstructing the ML tree, you can run:",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Then while running IQ-TREE may print something like this on to the screen:",0.5
"stsb sentence1: Binary, morphological and SNP data. sentence2: iqtree -s example.phy -p example.nex -m MF+MERGE
# for version 1.x change -p to -spp
",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: iqtree -s example.phy -p example.nex -m MF+MERGE -rcluster 10
# for version 1.x change -p to -spp
",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: iqtree -con mytrees -minsup 0.5 -bi 100
",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: O. Chernomor, A. von Haeseler, and B.Q. Minh (2016) Terrace aware data structure for phylogenomic inference from supermatrices. Syst. Biol., 65:997-1008. https://doi.org/10.1093/sysbio/syw037",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: The branches of the resulting .treefile will be assigned with both SH-aLRT and UFBoot support values, which are readable by any tree viewer program like FigTree, Dendroscope or ETE. You can also look at the textual tree figure in .iqtree file:",0.5
"stsb sentence1: Binary, morphological and SNP data. sentence2: This will perform all above tests plus the AU test.",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Now look at the resulting .iqtree file:",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: D.T. Hoang, O. Chernomor, A. von Haeseler, B.Q. Minh, and L.S. Vinh (2018) UFBoot2: Improving the ultrafast bootstrap approximation. Mol. Biol. Evol., 35:518–522. https://doi.org/10.1093/molbev/msx281",0.5
"stsb sentence1: Binary, morphological and SNP data. sentence2: Here, IQ-TREE will use 2 CPU cores to perform the analysis.",0.5
"stsb sentence1: Binary, morphological and SNP data. sentence2: NOTE: If you use model selection please cite the following paper:",0.5
"stsb sentence1: Binary, morphological and SNP data. sentence2: If the run successfully completed, running again will issue an error message:",0.5
"stsb sentence1: Binary, morphological and SNP data. sentence2: To resemble PartitionFinder and save time:",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: where mymodel is a file containing the 10 entries described above, in the correct order. The entries can be seperated by either empty space(s) or newline character. One can even specify the rates within -m option by e.g.:",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: The above run will perform a full tree search. To speed up you can use -n 0 to only use a parsimony tree for site rate estimates. Or if you have already infered an ML tree, you can specify it to improve the rate estimate:",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Here, IQ-TREE partitions the alignment example.phy into 2 sub-alignments named part1 and part2 containing sites (columns) 1-100 and 101-384, respectively. Moreover, IQ-TREE applies the subtitution models HKY+G and GTR+I+G to part1 and part2, respectively. Substitution model parameters and trees with branch lengths can be found in the result file example.nex.iqtree.",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Here, IQ-TREE will resample the sites within partitions (i.e., the bootstrap replicates are generated per partition separately and then concatenated together). The same holds true if you do the standard nonparametric bootstrap.",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Ultrafast bootstrapping with partition model",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Moreover, with the -m option one can input a file which contains the 6 rates (A-C, A-G, A-T, C-G, C-T, G-T) and 4 base frequencies (A, C, G, T). For example:",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Constrained tree search",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: The resulting part of the tree is then:",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Because the alignment file names are now specified in this NEXUS file, you can omit the -s option:",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: iqtree -s example.phy -p example.partitions -m GTR+I+G
# for version 1.x change -p to -spp
",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: IQ-TREE can perform the ultrafast bootstrap with partition models by e.g.,",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: iqtree -s example.phy -m TIM2+I+G -g example.constr0 --prefix example.constr0
# for version 1.x change --prefix to -pre
",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Finally, note that IQ-TREE will automatically detect duplicated tree topologies and omit them during the evaluation.",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Binary alignments contain sequences with characters 0 and 1, which can be in any common formats supported by IQ-TREE, for example, in PHYLIP format:",5.0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Depending on the compute system it might be required to set an upper limit of CPU cores that can automatically be assigned. Use the -ntmax option to do so. For instance",0.5
"stsb sentence1: Binary, morphological and SNP data. sentence2: DNA, part1 = 1-100
DNA, part2 = 101-384
",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Morphological alignments have an extended characeter alphabet of 0-9 and A-Z (for states 10-31). For example (PHYLIP format):",5.0
"stsb sentence1: Binary, morphological and SNP data. sentence2: example.phy.iqtree: the main report file that is self-readable. You should look at this file to see the computational results. It also contains a textual representation of the final tree (see below).example.phy.treefile: the ML tree in NEWICK format, which can be visualized by any supported tree viewer programs like FigTree or iTOL.example.phy.log: log file of the entire run (also printed on the screen). To report bugs, please send this log file and the original alignment file to the authors.",0.5
"stsb sentence1: Binary, morphological and SNP data. sentence2: iqtree -s morphology.phy -st MORPH -m MK+ASC
",5.0
"stsb sentence1: Binary, morphological and SNP data. sentence2: or",5.0
"stsb sentence1: Binary, morphological and SNP data. sentence2: IQ-TREE provides an implementation of the SH-like approximate likelihood ratio test (Guindon et al., 2010). To perform this test, run:",0.5
"stsb sentence1: Binary, morphological and SNP data. sentence2: To reduce computational burden, one can use the option -mset to restrict the testing procedure to a subset of base models instead of testing the entire set of all available models. For example, -mset WAG,LG will test only models like WAG+... or LG+.... Another useful option in this respect is -msub for AA data sets. With -msub nuclear only general AA models are included, whereas with -msub viral only AA models for viruses are included.",0.5
"stsb sentence1: Binary, morphological and SNP data. sentence2: IQ-TREE supports RAxML-style and NEXUS partition input file. The RAxML-style partition file may look like:",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: Finally, IQ-TREE 2 allows to estimate rates by maximum likelihood via --mlrate option:",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: This makes sense as the mammals (Human to Opossum) form a clade, whereas the reptiles (Turtle to Crocodile) and Bird form a separate sister clade. Here the tree is drawn at the outgroup Lungfish which is more accient than other species in this example. However, please note that IQ-TREE always produces an unrooted tree as it knows nothing about this biological background; IQ-TREE simply draws the tree this way as LngfishAu is the first sequence occuring in the alignment.",0.5
"stsb sentence1: Binary, morphological and SNP data. sentence2: NOTE: Tree is UNROOTED although outgroup taxon 'LngfishAu' is drawn at root
Numbers in parentheses are SH-aLRT support (%) / ultrafast bootstrap support (%)

+-------------LngfishAu
|
|       +--------------LngfishSA
+-------| (100/100)
|       +------------LngfishAf
|
|      +--------------------Frog
+------| (99.8/100)
       |                     +-----------------Turtle
       |                  +--| (85/72)
       |                  |  |    +------------------------Crocodile
       |                  |  +----| (96.5/97)
       |                  |       +------------------Bird
       |               +--| (39/51)
       |               |  +---------------------------Sphenodon
       |         +-----| (98.2/99)
       |         |     +-------------------------------Lizard
       +---------| (100/100)
                 |                   +--------------Human
                 |                +--| (92.3/93)
                 |                |  |  +------Seal
                 |                |  +--| (68.3/75)
                 |                |     |  +-----Cow
                 |                |     +--| (99.7/100)
                 |                |        +-------Whale
                 |           +----| (99.1/100)
                 |           |    |         +---Mouse
                 |           |    +---------| (100/100)
                 |           |              +------Rat
                 +-----------| (100/100)
                             |  +--------------Platypus
                             +--| (93/98)
                                +-----------Opossum
",0.5
"stsb sentence1: Binary, morphological and SNP data. sentence2: Tree topology tests",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: to resample partitions instead of sites. Moreover, IQ-TREE allows an even more complicated strategy: resampling partitions and then sites within resampled partitions (Gadagkar et al., 2005; Seo et al., 2005). This may help to reduce false positives (i.e. wrong branch receiving 100% support):",0
"stsb sentence1: Binary, morphological and SNP data. sentence2: headerBinary, morphological and SNP data",5.0
"stsb sentence1: Binary, morphological and SNP data. sentence2: titleBeginner’s tutorial",3.8
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: iqtree -s morphology.phy
",0.5
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Binary, morphological and SNP data",0.5
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Here, IQ-TREE will write an additional file:",5.0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: # Site-specific subtitution rates determined by maximum likelihood
# This file can be read in MS Excel or in R with command:
#   tab=read.table('example.phy.mlrate',header=TRUE)
# Columns are tab-separated with following meaning:
#   Site:   Alignment site ID
#   Rate:   Site rate estimated by maximum likelihood
Site    Rate
1       2.51550
2       12.89129
3       34.31350
4       2.44313
5       2.44313
6       4.41889
7       2.69577
8       9.27503
9       2.44313
10      0.00001
",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: To run UFBoot:",0.5
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: assuming that example.treels is an existing file containing a set of trees in NEWICK format. IQ-TREE first reconstructs an ML tree. Then, it will compute the log-likelihood of the trees in example.treels based on the estimated parameters done for the ML tree. example.phy.iqtree will have a section called USER TREES that lists the tree IDs and the corresponding log-likelihoods. The trees with optimized branch lengths can be found in example.phy.treels.trees If you only want to evaluate the trees without reconstructing the ML tree, you can run:",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Then while running IQ-TREE may print something like this on to the screen:",0.5
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: iqtree -s example.phy -p example.nex -m MF+MERGE
# for version 1.x change -p to -spp
",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: iqtree -s example.phy -p example.nex -m MF+MERGE -rcluster 10
# for version 1.x change -p to -spp
",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: iqtree -con mytrees -minsup 0.5 -bi 100
",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: O. Chernomor, A. von Haeseler, and B.Q. Minh (2016) Terrace aware data structure for phylogenomic inference from supermatrices. Syst. Biol., 65:997-1008. https://doi.org/10.1093/sysbio/syw037",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: The branches of the resulting .treefile will be assigned with both SH-aLRT and UFBoot support values, which are readable by any tree viewer program like FigTree, Dendroscope or ETE. You can also look at the textual tree figure in .iqtree file:",0.5
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: This will perform all above tests plus the AU test.",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Now look at the resulting .iqtree file:",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: D.T. Hoang, O. Chernomor, A. von Haeseler, B.Q. Minh, and L.S. Vinh (2018) UFBoot2: Improving the ultrafast bootstrap approximation. Mol. Biol. Evol., 35:518–522. https://doi.org/10.1093/molbev/msx281",0.5
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Here, IQ-TREE will use 2 CPU cores to perform the analysis.",0.5
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: NOTE: If you use model selection please cite the following paper:",5.0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: If the run successfully completed, running again will issue an error message:",1.0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: To resemble PartitionFinder and save time:",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: where mymodel is a file containing the 10 entries described above, in the correct order. The entries can be seperated by either empty space(s) or newline character. One can even specify the rates within -m option by e.g.:",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: The above run will perform a full tree search. To speed up you can use -n 0 to only use a parsimony tree for site rate estimates. Or if you have already infered an ML tree, you can specify it to improve the rate estimate:",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Here, IQ-TREE partitions the alignment example.phy into 2 sub-alignments named part1 and part2 containing sites (columns) 1-100 and 101-384, respectively. Moreover, IQ-TREE applies the subtitution models HKY+G and GTR+I+G to part1 and part2, respectively. Substitution model parameters and trees with branch lengths can be found in the result file example.nex.iqtree.",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Here, IQ-TREE will resample the sites within partitions (i.e., the bootstrap replicates are generated per partition separately and then concatenated together). The same holds true if you do the standard nonparametric bootstrap.",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Ultrafast bootstrapping with partition model",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Moreover, with the -m option one can input a file which contains the 6 rates (A-C, A-G, A-T, C-G, C-T, G-T) and 4 base frequencies (A, C, G, T). For example:",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Constrained tree search",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: The resulting part of the tree is then:",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Because the alignment file names are now specified in this NEXUS file, you can omit the -s option:",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: iqtree -s example.phy -p example.partitions -m GTR+I+G
# for version 1.x change -p to -spp
",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: IQ-TREE can perform the ultrafast bootstrap with partition models by e.g.,",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: iqtree -s example.phy -m TIM2+I+G -g example.constr0 --prefix example.constr0
# for version 1.x change --prefix to -pre
",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Finally, note that IQ-TREE will automatically detect duplicated tree topologies and omit them during the evaluation.",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Binary alignments contain sequences with characters 0 and 1, which can be in any common formats supported by IQ-TREE, for example, in PHYLIP format:",0.5
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Depending on the compute system it might be required to set an upper limit of CPU cores that can automatically be assigned. Use the -ntmax option to do so. For instance",0.5
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: DNA, part1 = 1-100
DNA, part2 = 101-384
",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Morphological alignments have an extended characeter alphabet of 0-9 and A-Z (for states 10-31). For example (PHYLIP format):",0.5
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: example.phy.iqtree: the main report file that is self-readable. You should look at this file to see the computational results. It also contains a textual representation of the final tree (see below).example.phy.treefile: the ML tree in NEWICK format, which can be visualized by any supported tree viewer programs like FigTree or iTOL.example.phy.log: log file of the entire run (also printed on the screen). To report bugs, please send this log file and the original alignment file to the authors.",1.0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: iqtree -s morphology.phy -st MORPH -m MK+ASC
",0.5
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: or",0.5
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: IQ-TREE provides an implementation of the SH-like approximate likelihood ratio test (Guindon et al., 2010). To perform this test, run:",0.5
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: To reduce computational burden, one can use the option -mset to restrict the testing procedure to a subset of base models instead of testing the entire set of all available models. For example, -mset WAG,LG will test only models like WAG+... or LG+.... Another useful option in this respect is -msub for AA data sets. With -msub nuclear only general AA models are included, whereas with -msub viral only AA models for viruses are included.",5.0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: IQ-TREE supports RAxML-style and NEXUS partition input file. The RAxML-style partition file may look like:",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Finally, IQ-TREE 2 allows to estimate rates by maximum likelihood via --mlrate option:",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: This makes sense as the mammals (Human to Opossum) form a clade, whereas the reptiles (Turtle to Crocodile) and Bird form a separate sister clade. Here the tree is drawn at the outgroup Lungfish which is more accient than other species in this example. However, please note that IQ-TREE always produces an unrooted tree as it knows nothing about this biological background; IQ-TREE simply draws the tree this way as LngfishAu is the first sequence occuring in the alignment.",1.0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: NOTE: Tree is UNROOTED although outgroup taxon 'LngfishAu' is drawn at root
Numbers in parentheses are SH-aLRT support (%) / ultrafast bootstrap support (%)

+-------------LngfishAu
|
|       +--------------LngfishSA
+-------| (100/100)
|       +------------LngfishAf
|
|      +--------------------Frog
+------| (99.8/100)
       |                     +-----------------Turtle
       |                  +--| (85/72)
       |                  |  |    +------------------------Crocodile
       |                  |  +----| (96.5/97)
       |                  |       +------------------Bird
       |               +--| (39/51)
       |               |  +---------------------------Sphenodon
       |         +-----| (98.2/99)
       |         |     +-------------------------------Lizard
       +---------| (100/100)
                 |                   +--------------Human
                 |                +--| (92.3/93)
                 |                |  |  +------Seal
                 |                |  +--| (68.3/75)
                 |                |     |  +-----Cow
                 |                |     +--| (99.7/100)
                 |                |        +-------Whale
                 |           +----| (99.1/100)
                 |           |    |         +---Mouse
                 |           |    +---------| (100/100)
                 |           |              +------Rat
                 +-----------| (100/100)
                             |  +--------------Platypus
                             +--| (93/98)
                                +-----------Opossum
",0.5
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: Tree topology tests",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: to resample partitions instead of sites. Moreover, IQ-TREE allows an even more complicated strategy: resampling partitions and then sites within resampled partitions (Gadagkar et al., 2005; Seo et al., 2005). This may help to reduce false positives (i.e. wrong branch receiving 100% support):",0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: headerChoosing the right substitution model",5.0
"stsb sentence1: Here, IQ-TREE will write an additional file:. sentence2: titleBeginner’s tutorial",3.8
