answer,answer_index,cluster,cluster_index,first,label,label_index
http://www.iqtree.org/doc/Advanced-Tutorial#where-to-go-from-here,11.0,Advanced tutorial,1.0,See Command Reference for a complete list of all options available in IQ-TREE.,Where to go from here?,11.0
http://www.iqtree.org/doc/Assessing-Phylogenetic-Assumptions#tests-of-symmetry,12.0,Assessing phylogenetic assumptions,2.0,"iqtree2 -s example.phy -p example.nex --symtest-only
",Tests of symmetry,12.0
http://www.iqtree.org/doc/Assessing-Phylogenetic-Assumptions#likelihood-mapping,13.0,Assessing phylogenetic assumptions,2.0,"Likelihood mapping (Strimmer and von Haeseler, 1997) is a visualisation method to display the phylogenetic information of an alignment. It visualises the treelikeness of all quartets in a single triangular graph and therefore renders a quick interpretation of the phylogenetic content.",Likelihood mapping,13.0
http://www.iqtree.org/doc/Tutorial#input-data,14.0,Beginner’s tutorial,3.0,"IQ-TREE takes as input a multiple sequence alignment and will reconstruct an evolutionary tree that is best explained by the input data. If you have raw (unaligned) sequences, you need to first run an alignment program like MAFFT or ClustalW to align the sequences, before feeding them into IQ-TREE.",Input data,14.0
http://www.iqtree.org/doc/Tutorial#first-running-example,15.0,Beginner’s tutorial,3.0,From the download there is an example alignment called example.phy in PHYLIP format. This example contains parts of the mitochondrial DNA sequences of several animals (Source: Phylogenetic Handbook).,First running example,15.0
http://www.iqtree.org/doc/Tutorial#choosing-the-right-substitution-model,16.0,Beginner’s tutorial,3.0,NOTE: If you use model selection please cite the following paper:,Choosing the right substitution model,16.0
http://www.iqtree.org/doc/Tutorial#using-codon-models,17.0,Beginner’s tutorial,3.0,"IQ-TREE supports a number of codon models. You need to input a protein-coding DNA alignment and specify codon data by option -st CODON (Otherwise, IQ-TREE applies DNA model because it detects that your alignment has DNA sequences):",Using codon models,17.0
http://www.iqtree.org/doc/Tutorial#binary-morphological-and-snp-data,18.0,Beginner’s tutorial,3.0,"Binary alignments contain sequences with characters 0 and 1, which can be in any common formats supported by IQ-TREE, for example, in PHYLIP format:","Binary, morphological and SNP data",18.0
http://www.iqtree.org/doc/Tutorial#assessing-branch-supports-with-ultrafast-bootstrap-approximation,19.0,Beginner’s tutorial,3.0,"To overcome the computational burden required by the nonparametric bootstrap, IQ-TREE introduces an ultrafast bootstrap approximation (UFBoot) (Minh et al., 2013; Hoang et al., 2018) that is orders of magnitude faster than the standard procedure and provides relatively unbiased branch support values. Citation for UFBoot:",Assessing branch supports with ultrafast bootstrap approximation,19.0
http://www.iqtree.org/doc/Tutorial#reducing-impact-of-severe-model-violations-with-ufboot,20.0,Beginner’s tutorial,3.0,Starting with IQ-TREE version 1.6 we provide a new option -bnni to reduce the risk of overestimating branch supports with UFBoot due to severe model violations. With this option UFBoot will further optimize each bootstrap tree using a hill-climbing nearest neighbor interchange (NNI) search based directly on the corresponding bootstrap alignment.,Reducing impact of severe model violations with UFBoot,20.0
http://www.iqtree.org/doc/Tutorial#assessing-branch-supports-with--standard-nonparametric-bootstrap,21.0,Beginner’s tutorial,3.0,The standard nonparametric bootstrap is invoked by the -b option:,Assessing branch supports with standard nonparametric bootstrap,21.0
http://www.iqtree.org/doc/Tutorial#assessing-branch-supports-with-single-branch-tests,22.0,Beginner’s tutorial,3.0,"IQ-TREE provides an implementation of the SH-like approximate likelihood ratio test (Guindon et al., 2010). To perform this test, run:",Assessing branch supports with single branch tests,22.0
http://www.iqtree.org/doc/Tutorial#utilizing-multi-core-cpus,23.0,Beginner’s tutorial,3.0,IQ-TREE can utilize multiple CPU cores to speed up the analysis. A complement option -T (or -nt for version 1.x) allows specifying the number of CPU cores to use. For example:,Utilizing multi-core CPUs,23.0
http://www.iqtree.org/doc/Tutorial#where-to-go-from-here,24.0,Beginner’s tutorial,3.0,"Once confident enough you can go on with a more advanced tutorial, which covers topics like phylogenomic (multi-gene) analyses using partition models or mixture models.",Where to go from here?,24.0
http://www.iqtree.org/doc/Command-Reference#general-options,25.0,Command reference,4.0,General options are mainly intended for specifying input and output files:,General options,25.0
http://www.iqtree.org/doc/Command-Reference#checkpointing-to-resume-stopped-run,26.0,Command reference,4.0,"Starting with version 1.4.0 IQ-TREE supports checkpointing: If an IQ-TREE run was interrupted for some reason, rerunning it with the same command line and input data will automatically resume the analysis from the last stopped point. The previous log file will then be appended. If a run successfully finished, IQ-TREE will deny to rerun and issue an error message. A few options that control checkpointing behavior:",Checkpointing to resume stopped run,26.0
http://www.iqtree.org/doc/Command-Reference#likelihood-mapping-analysis,27.0,Command reference,4.0,"Starting with version 1.4.0, IQ-TREE implements the likelihood mapping approach (Strimmer and von Haeseler, 1997) to assess the phylogenetic information of an input alignment. The detailed results will be printed to .iqtree report file. The likelihood mapping plots will be printed to .lmap.svg and .lmap.eps files.",Likelihood mapping analysis,27.0
http://www.iqtree.org/doc/Command-Reference#automatic-model-selection,28.0,Command reference,4.0,"The default model (e.g., HKY+F for DNA, LG for protein data) may not fit well to the data. Therefore, IQ-TREE allows to automatically determine the best-fit model via a series of -m TEST... option:",Automatic model selection,28.0
http://www.iqtree.org/doc/Command-Reference#specifying-substitution-models,29.0,Command reference,4.0,"-m is a powerful option to specify substitution models, state frequency and rate heterogeneity type. The general syntax is:",Specifying substitution models,29.0
http://www.iqtree.org/doc/Command-Reference#rate-heterogeneity,30.0,Command reference,4.0,The following RateTypes are supported:,Rate heterogeneity,30.0
http://www.iqtree.org/doc/Command-Reference#partition-model-options,31.0,Command reference,4.0,Partition models are used for phylogenomic data with multiple genes. You first have to prepare a partition file in NEXUS or RAxML-style format. Then use the following options to input the partition file:,Partition model options,31.0
http://www.iqtree.org/doc/Command-Reference#site-specific-frequency-model-options,32.0,Command reference,4.0,The site-specific frequency model is used to substantially reduce the time and memory requirement compared with full profile mixture models C10 to C60. For full details see site-specific frequency model. To use this model you have to specify a profile mixture model with e.g. -m LG+C20+F+G together with a guide tree or a site frequency file:,Site-specific frequency model options,32.0
http://www.iqtree.org/doc/Command-Reference#tree-search-parameters,33.0,Command reference,4.0,"The new IQ-TREE search algorithm (Nguyen et al., 2015) has several parameters that can be changed with:",Tree search parameters,33.0
http://www.iqtree.org/doc/Command-Reference#ultrafast-bootstrap-parameters,34.0,Command reference,4.0,"The ultrafast bootstrap (UFBoot) approximation (Minh et al., 2013; Hoang et al., in press) has several parameters that can be changed with:",Ultrafast bootstrap parameters,34.0
http://www.iqtree.org/doc/Command-Reference#nonparametric-bootstrap,35.0,Command reference,4.0,"The slow standard nonparametric bootstrap (Felsenstein, 1985) can be run with:",Nonparametric bootstrap,35.0
http://www.iqtree.org/doc/Command-Reference#single-branch-tests,36.0,Command reference,4.0,"The following single branch tests are faster than all bootstrap analysis and recommended for extremely large data sets (e.g., >10,000 taxa):",Single branch tests,36.0
http://www.iqtree.org/doc/Command-Reference#ancestral-sequence-reconstruction,37.0,Command reference,4.0,"This feature is newly introduced in version 1.6. You can combine this feature with -te option to determine ancestral sequences along a user-defined tree (Otherwise, IQ-TREE computes ancestral sequences of the ML tree).",Ancestral sequence reconstruction,37.0
http://www.iqtree.org/doc/Command-Reference#tree-topology-tests,38.0,Command reference,4.0,"IQ-TREE provides a number of tests for significant topological differences between trees. The AU test implementation in IQ-TREE is much more efficient than the original CONSEL by supporting SSE, AVX and multicore parallelization. Moreover, it is more appropriate than CONSEL for partition analysis by bootstrap resampling sites within partitions, whereas CONSEL is not partition-aware.",Tree topology tests,38.0
http://www.iqtree.org/doc/Command-Reference#constructing-consensus-tree,39.0,Command reference,4.0,IQ-TREE provides a fast implementation of consensus tree construction for post analysis:,Constructing consensus tree,39.0
http://www.iqtree.org/doc/Command-Reference#computing-robinson-foulds-distance,40.0,Command reference,4.0,IQ-TREE provides a fast implementation of Robinson-Foulds (RF) distance computation between trees:,Computing Robinson-Foulds distance,40.0
http://www.iqtree.org/doc/Command-Reference#generating-random-trees,41.0,Command reference,4.0,IQ-TREE provides several random tree generation models:,Generating random trees,41.0
http://www.iqtree.org/doc/Command-Reference#miscellaneous-options,42.0,Command reference,4.0,"OptionUsage and meaning-alninfoPrint alignment site statistics to .alninfo file.-blfixFix branch lengths of tree passed via -t or -te. This is useful to evaluate the log-likelihood of an input tree with fixed tolopogy and branch lengths. DEFAULT: OFF-blminSpecify minimum branch length. Default: the smaller of 0.000001 and 0.1/alignment_length.-blmaxSpecify the maximum branch length. Default: 10-czbCollapse near zero branches, so that the final tree may be multifurcating. This is useful for bootstrapping in the presence of polytomy to reduce bootstrap supports of short branches.-meSpecify the log-likelihood epsilon for final model parameter estimation (Default: 0.01). With -fast option, the epsilon is raised to 0.05.-wplWrite partition log-likelihoods to .partlh file. Only effective with partition model.-wsprWrite site posterior probabilities per rate category to .siteprob file.-wspmWrite site posterior probabilities per mixture class to .siteprob file.-wspmrWrite site posterior probabilities per mixture class and rate category to .siteprob file.-wslWrite site log-likelihoods to .sitelh file in TREE-PUZZLE format. Such file can then be passed on to CONSEL for further tree tests.-wslrWrite site log-likelihoods per rate category to .sitelh file.-wslmWrite site log-likelihoods per mixture class to .sitelh file.-wslmrWrite site log-likelihoods per mixture class and rate category to .sitelh file.-wtTurn on writing all locally optimal trees into .treels file.-fconstSpecify a list of comma-separated integer numbers. The number of entries should be equal to the number of states in the model (e.g. 4 for DNA and 20 for protein). IQ-TREE will then add a number of constant sites accordingly. For example, -fconst 10,20,15,40 will add 10 constant sites of all A, 20 constant sites of all C, 15 constant sites of all G and 40 constant sites of all T into the alignment.",Miscellaneous options,42.0
http://www.iqtree.org/doc/Compilation-Guide#general-requirements,43.0,Compilation guide,5.0,"A C++ compiler such as GCC (version >= 4.8), Clang, MS Visual Studio and Intel C++ compiler.CMake version >= 2.8.10.Boost library for IQ-TREE version 2. Boost library is typically available under Linux. Under MacOS you use Homebrew and run brew install boost to install the Boost library. By default IQ-TREE will detect the path to the installed Boost library.Eigen3 library (for IQ-TREE version >= 1.6). Under MacOS you use Homebrew and run brew install eigen to install the Boost library. By default IQ-TREE will detect the path to the installed Eigen3 library. If this failed, you have to manually specify -DEIGEN3_INCLUDE_DIR=<installed_eigen3_dir> to the cmake command (see below).OpenMP library, which is used to compile the multicore version. This should typically be the case with gcc under Linux. Under MacOS you use Homebrew and run brew install libomp to install the OpenMP library.(Optional) Install git if you want to clone source code from IQ-TREE GitHub repository.",General requirements,43.0
http://www.iqtree.org/doc/Compilation-Guide#downloading-source-code,44.0,Compilation guide,5.0,Choose the source code (zip or tar.gz) of the IQ-TREE release you want to use from:,Downloading source code,44.0
http://www.iqtree.org/doc/Compilation-Guide#compiling-under-linux,45.0,Compilation guide,5.0,TIP: Ready made IQ-TREE packages are provided for Debian and Arch Linux (AUR).,Compiling under Linux,45.0
http://www.iqtree.org/doc/Compilation-Guide#compiling-under-mac-os-x,46.0,Compilation guide,5.0,TIP: A ready made IQ-TREE package is provided by * Homebrew by simply running brew install homebrew/science/iqtree2.,Compiling under Mac OS X,46.0
http://www.iqtree.org/doc/Compilation-Guide#compiling-under-windows,47.0,Compilation guide,5.0,Please first install TDM-GCC (a GCC version for Windows) from http://tdm-gcc.tdragon.net.Then install Clang for Windows from http://clang.llvm.org.,Compiling under Windows,47.0
http://www.iqtree.org/doc/Compilation-Guide#compiling-32-bit-version,48.0,Compilation guide,5.0,"NOTE: Typically a 64-bit IQ-TREE version is built and recommended! The 32-bit version has several restriction like maximal RAM usage of 2GB and no AVX support, thus not suitable to analyze large data sets.",Compiling 32-bit version,48.0
http://www.iqtree.org/doc/Compilation-Guide#compiling-mpi-version,49.0,Compilation guide,5.0,Requirements:,Compiling MPI version,49.0
http://www.iqtree.org/doc/Compilation-Guide#compiling-xeon-phi-knights-landing-version,50.0,Compilation guide,5.0,"Starting with version 1.6, IQ-TREE supports Xeon Phi Knights Landing (AVX-512 instruction set). To build this version the following requirements must be met:",Compiling Xeon Phi Knights Landing version,50.0
http://www.iqtree.org/doc/Compilation-Guide#about-precompiled-binaries,51.0,Compilation guide,5.0,"To provide the pre-compiled IQ-TREE binaries at http://www.iqtree.org, we used Clang 3.9.0 for Windows and Clang 4.0 for Linux and macOS. We recommend to use Clang instead of GCC as Clang-compiled binaries run about 5-10% faster than GCC-compiled ones.",About precompiled binaries,51.0
http://www.iqtree.org/doc/Compilation-Guide#setup-an-xcode-project-in-macos,52.0,Compilation guide,5.0,"Many developers in MacOS use Xcode to develop the code. To generate an XCode project for IQ-TREE, you need to run:",Setup an Xcode project in MacOS,52.0
http://www.iqtree.org/doc/Complex-Models#partition-models,53.0,Complex models,6.0,"Partition models are intended for phylogenomic (e.g., multi-gene) alignments, which allow each partition to have its own substitution models and evolutionary rates. IQ-TREE supports three types of partition models:",Partition models,53.0
http://www.iqtree.org/doc/Complex-Models#mixture-models,54.0,Complex models,6.0,What is the difference between partition and mixture models?,Mixture models,54.0
http://www.iqtree.org/doc/Complex-Models#site-specific-frequency-models,55.0,Complex models,6.0,"Starting with version 1.5.0, IQ-TREE provides a new posterior mean site frequency (PMSF) model as a rapid approximation to the time and memory consuming profile mixture models C10 to C60 (Le et al., 2008a; a variant of PhyloBayes’ CAT model). The PMSF are the amino-acid profiles for each alignment site computed from an input mixture model and a guide tree. The PMSF model is much faster and requires much less RAM than C10 to C60 (see table below), regardless of the number of mixture classes. Our extensive simulations and empirical phylogenomic data analyses demonstrate that the PMSF models can effectively ameliorate long branch attraction artefacts.",Site-specific frequency models,55.0
http://www.iqtree.org/doc/Complex-Models#heterotachy-models,56.0,Complex models,6.0,"Sequence data that have evolved under heterotachy, i.e., rate variation across sites and lineages (Lopez, Casane, and Philippe, 2002), are known to mislead phylogenetic inference (Kolaczkowski and Thornton, 2004). To address this issue we introduce the General Heterogeneous evolution On a Single Topology (GHOST) model. More specifically, GHOST is an edge-unlinked mixture model consisting of several site classes, each having a separate set of model parameters and edge lengths on the same tree topology. Thus, GHOST naturally accounts for heterotachous evolution. In contrast to an edge-unlinked partition model, the GHOST model does not require the a priori data partitioning, a possible source of model misspecification.",Heterotachy models,56.0
http://www.iqtree.org/doc/Concordance-Factor#inferring-species-tree,57.0,Concordance Factor,7.0,"As an example, you can apply an edge-linked proportional partition model with ultrafast bootstrap (1000 replicates; for comparison with concordance factors):",Inferring species tree,57.0
http://www.iqtree.org/doc/Concordance-Factor#inferring-genelocus-trees,58.0,Concordance Factor,7.0,"iqtree -s ALN_FILE -S PARTITION_FILE --prefix loci -T AUTO
# or
iqtree -S ALN_DIR --prefix loci -T AUTO
",Inferring gene/locus trees,58.0
http://www.iqtree.org/doc/Concordance-Factor#gene-concordance-factor-gcf,59.0,Concordance Factor,7.0,"iqtree -t concat.treefile --gcf loci.treefile --prefix concord
",Gene concordance factor (gCF),59.0
http://www.iqtree.org/doc/Concordance-Factor#site-concordance-factor-scf,60.0,Concordance Factor,7.0,"iqtree -t concat.treefile -s ALN_FILE --scf 100 --prefix concord -T 10
",Site concordance factor (sCF),60.0
http://www.iqtree.org/doc/Concordance-Factor#putting-it-all-together,61.0,Concordance Factor,7.0,"# infer a concatenation-based species tree with 1000 ultrafast bootstrap and an edge-linked partition model
iqtree -p ALN_DIR --prefix concat -B 1000 -T AUTO

# infer the locus trees
iqtree -S ALN_DIR --prefix loci -T AUTO

# compute concordance factors
iqtree -t concat.treefile --gcf loci.treefile -p ALN_DIR --scf 100 --prefix concord -T 10
",Putting it all together,61.0
http://www.iqtree.org/doc/Developer-Guide#alignment-class,62.0,Developer guide,8.0,"The Alignment class stores the data as a vector of Pattern. Each Pattern is in turn a string representing the characters across the sequences at an alignment site, with a frequency of occurrences in the Alignment (from header file pattern.h):",Alignment class,62.0
http://www.iqtree.org/doc/Developer-Guide#model-of-substitution,63.0,Developer guide,8.0,ModelSubst,Model of substitution,63.0
http://www.iqtree.org/doc/Developer-Guide#phylotree-class-phylogenetic-tree,64.0,Developer guide,8.0,PhyloTree is the base class for phylogenetic trees.,PhyloTree class (phylogenetic tree),64.0
http://www.iqtree.org/doc/Frequently-Asked-Questions#how-do-i-get-help,65.0,Frequently asked questions,9.0,If you have questions please follow the steps below:,How do I get help?,65.0
http://www.iqtree.org/doc/Frequently-Asked-Questions#how-do-i-report-bug,66.0,Frequently asked questions,9.0,"For bug report, please send the following information to the IQ-TREE Google group:",How do I report bug?,66.0
http://www.iqtree.org/doc/Frequently-Asked-Questions#how-do-i-interpret-ultrafast-bootstrap-ufboot-support-values,67.0,Frequently asked questions,9.0,"The ultrafast bootstrap (UFBoot) feature (-bb option) was published in (Minh et al., 2013). One of the main conclusions is, that UFBoot support values are more unbiased: 95% support correspond roughly to a probability of 95% that a clade is true. So this has a different meaning than the normal bootstrap supports (where you start to believe in the clade if it has >80% BS support). For UFBoot, you should only start to believe in a clade if its support is >= 95%. Thus, the interpretations are different and you should not compare BS% with UFBoot% directly.",How do I interpret ultrafast bootstrap (UFBoot) support values?,67.0
http://www.iqtree.org/doc/Frequently-Asked-Questions#how-does-iq-tree-treat-gapmissingambiguous-characters,68.0,Frequently asked questions,9.0,"Gaps (-) and missing characters (? or N for DNA alignments) are treated in the same way as unknown characters, which represent no information. The same treatment holds for many other ML software (e.g., RAxML, PhyML). More explicitly, for a site (column) of an alignment containing AC-AG-A (i.e. A for sequence 1, C for sequence 2, - for sequence 3, and so on), the site-likelihood of a tree T is equal to the site-likelihood of the subtree of T restricted to those sequences containing non-gap characters (ACAGA).",How does IQ-TREE treat gap/missing/ambiguous characters?,68.0
http://www.iqtree.org/doc/Frequently-Asked-Questions#can-i-mix-dna-and-protein-data-in-a-partitioned-analysis,69.0,Frequently asked questions,9.0,"Yes! You can specify this via a NEXUS partition file. In fact, you can mix any data types supported in IQ-TREE, including also codon, binary and morphological data. To do so, each data type should be stored in a separate alignment file (see also Partitioned analysis with mixed data). As an example, assuming dna.phy is a DNA alignment and and prot.phy is a protein alignment. Then a partition file mixing two types of data can be specified as follows:",Can I mix DNA and protein data in a partitioned analysis?,69.0
http://www.iqtree.org/doc/Frequently-Asked-Questions#what-is-the-interpretation-of-branch-lengths-when-mixing-codon-and-dna-data,70.0,Frequently asked questions,9.0,"When mixing codon and DNA data in a partitioned analysis, the branch lengths are interpreted as the number of nucleotide substitutions per nucleotide site! This is different from having only codon data, where branch lengths are the number of nucleotide substitutions per codon site (thus typically 3 times longer than under DNA models).",What is the interpretation of branch lengths when mixing codon and DNA data?,70.0
http://www.iqtree.org/doc/Frequently-Asked-Questions#what-is-the-purpose-of-composition-test,71.0,Frequently asked questions,9.0,"At the beginning of each run, IQ-TREE performs a composition chi-square test for every sequence in the alignment. The purpose is to test for homogeneity of character composition (e.g., nucleotide for DNA, amino-acid for protein sequences). A sequence is denoted failed if its character composition significantly deviates from the average composition of the alignment.",What is the purpose of composition test?,71.0
http://www.iqtree.org/doc/Frequently-Asked-Questions#what-is-the-good-number-of-cpu-cores-to-use,72.0,Frequently asked questions,9.0,"Starting with version 1.5.1, you can use option -nt AUTO to automatically determine the best number of threads for your current data and computer.",What is the good number of CPU cores to use?,72.0
http://www.iqtree.org/doc/Frequently-Asked-Questions#how-do-i-save-time-for-standard-bootstrap,73.0,Frequently asked questions,9.0,"The standard bootstrap is rather slow and may take weeks/months for large data sets. One way to speed up is to use the multicore version. However, this only works well for long alignments (see What is the good number of CPU cores to use?). Another way is to use many machines or a computing cluster and split the computation among the machines. To illustrate, you want to perform 100 bootstrap replicates and have 5 PCs, each has 4 CPU cores. Then you can:",How do I save time for standard bootstrap?,73.0
http://www.iqtree.org/doc/Frequently-Asked-Questions#why-does-iq-tree-complain-about-the-use-of-asc-model,74.0,Frequently asked questions,9.0,"When using ascertainment bias correction (ASC) model, sometimes you may get an error message:",Why does IQ-TREE complain about the use of +ASC model?,74.0
http://www.iqtree.org/doc/Frequently-Asked-Questions#how-does-iq-tree-treat-identical-sequences,75.0,Frequently asked questions,9.0,"Therefore, the .uniqueseq.phy printed by IQ-TREE may still contain the identical sequences, but no more than two of each identical group.",How does IQ-TREE treat identical sequences?,75.0
http://www.iqtree.org/doc/Frequently-Asked-Questions#what-are-the-differences-between-alignment-columnssites-and-patterns,76.0,Frequently asked questions,9.0,Example:,What are the differences between alignment columns/sites and patterns?,76.0
http://www.iqtree.org/doc/Quickstart#iq-tree-web-server,77.0,Getting started,10.0,"The quickest is to try out the IQ-TREE web server, where you only need to upload an alignment, choose the options and start the analysis. There is a web server tutorial here.",IQ-TREE web server,77.0
http://www.iqtree.org/doc/Quickstart#installation,78.0,Getting started,10.0,"For reasons of performance, IQ-TREE is a command-line program, i.e., IQ-TREE needs to be run from a terminal/console (command prompt under Windows).",Installation,78.0
http://www.iqtree.org/doc/Quickstart#for-windows-users,79.0,Getting started,10.0,"Since IQ-TREE is a command-line program, clicking on iqtree.exe will not work. You have to open a Command Prompt for all analyses:",For Windows users,79.0
http://www.iqtree.org/doc/Quickstart#for-mac-os-x-users,80.0,Getting started,10.0,"Open the “Terminal”, e.g., by clicking on the Spotlight icon (top-right corner), typing “terminal” and press “Enter”.Go into IQ-TREE folder by entering (assuming you downloaded version 1.5.0): cd Downloads/iqtree-1.5.0-MacOSX
(assuming that IQ-TREE was downloaded into Downloads folder).Now you can try an example run by entering bin/iqtree -s example.phy
(example.phy is the example PHYLIP alignment file also extracted in that folder).After a few seconds, IQ-TREE finishes and you may see something like this:",For Mac OS X users,80.0
http://www.iqtree.org/doc/Quickstart#minimal-command-line-examples,81.0,Getting started,10.0,"A few typically analyses are listed in the following. Note that it is assumed that iqtree executable was already copied into system search path. If not, please replace iqtree with actual path to executable.",Minimal command-line examples,81.0
http://www.iqtree.org/doc/Quickstart#where-to-go-from-here,82.0,Getting started,10.0,Please continue with the Beginner’s tutorial for further usages.,Where to go from here?,82.0
http://www.iqtree.org/doc/Home#why-iq-tree,83.0,Introduction,11.0,"Thanks to the recent advent of next-generation sequencing techniques, the amount of phylogenomic/transcriptomic data have been rapidly accumulated. This extremely facilitates resolving many “deep phylogenetic” questions in the tree of life. At the same time it poses major computational challenges to analyze such big data, where most phylogenetic software cannot handle. Moreover, there is a need to develop more complex probabilistic models to adequately capture realistic aspects of genomic sequence evolution.",Why IQ-TREE?,83.0
http://www.iqtree.org/doc/Home#key-features,84.0,Introduction,11.0,"Efficient search algorithm: Fast and effective stochastic algorithm to reconstruct phylogenetic trees by maximum likelihood. IQ-TREE compares favorably to RAxML and PhyML in terms of likelihood while requiring similar amount of computing time (Nguyen et al., 2015).Ultrafast bootstrap: An ultrafast bootstrap approximation (UFBoot) to assess branch supports. UFBoot is 10 to 40 times faster than RAxML rapid bootstrap and obtains less biased support values (Minh et al., 2013; Hoang et al., 2018).Ultrafast model selection: An ultrafast and automatic model selection (ModelFinder) which is 10 to 100 times faster than jModelTest and ProtTest. ModelFinder also finds best-fit partitioning scheme like PartitionFinder.Big Data Analysis: Supporting huge datasets with thousands of sequences or millions of alignment sites via checkpointing, safe numerical and low memory mode. Multicore CPUs and parallel MPI system are utilized to speedup analysis.Phylogenetic testing: Several fast branch tests like SH-aLRT and aBayes test (Anisimova et al., 2011) and tree topology tests like the approximately unbiased (AU) test (Shimodaira, 2002).",Key features,84.0
http://www.iqtree.org/doc/Home#free-web-server,85.0,Introduction,11.0,"For a quick start you can also try the IQ-TREE web server, which performs online computation using a dedicated computing cluster. It is very easy to use with as few as just 3 clicks! Try it out at",Free web server,85.0
http://www.iqtree.org/doc/Home#user-support,86.0,Introduction,11.0,"Please refer to the user documentation and frequently asked questions. If you have further questions, feedback, feature requests, and bug reports, please sign up the following Google group (if not done yet) and post a topic to the",User support,86.0
http://www.iqtree.org/doc/Home#documentation,87.0,Introduction,11.0,IQ-TREE has an extensive documentation with several tutorials and manual:,Documentation,87.0
http://www.iqtree.org/doc/Home#how-to-cite-iq-tree,88.0,Introduction,11.0,"To maintain IQ-TREE, support users and secure fundings, it is important for us that you cite the following papers, whenever the corresponding features were applied for your analysis.Example 1: We obtained branch supports with the ultrafast bootstrap (Hoang et al., 2018) implemented in the IQ-TREE software (Nguyen et al., 2015).Example 2: We inferred the maximum-likelihood tree using the edge-linked partition model in IQ-TREE (Chernomor et al., 2016; Nguyen et al., 2015).",How to cite IQ-TREE?,88.0
http://www.iqtree.org/doc/Home#development-team,89.0,Introduction,11.0,IQ-TREE is actively developed by:,Development team,89.0
http://www.iqtree.org/doc/Home#credits-and-acknowledgements,90.0,Introduction,11.0,"Some parts of the code were taken from the following packages/libraries: Phylogenetic likelihood library, TREE-PUZZLE, BIONJ, Nexus Class Libary, Eigen library, SPRNG library, Zlib library, gzstream library, vectorclass library, GNU scientific library.",Credits and acknowledgements,90.0
